FlightID,Type,Priority,ArrivalMs,ServiceMs,TRequested,TGranted,TStarted,TFinished,WaitMs,SchedulerDelayMs,RunwayTimeMs
0,LAND,NORMAL,492,548,12904788,12904789,12926395,12926944,21607,1,549
1,TAKEOFF,NORMAL,302,683,12904598,12904599,12917967,12918663,13369,1,696
2,LAND,NORMAL,191,340,12904487,12904488,12913802,12914144,9315,1,342
3,LAND,NORMAL,465,738,12904762,12904762,12925389,12926128,20627,0,739
4,TAKEOFF,NORMAL,126,262,12904424,12904425,12911120,12911387,6696,1,267
5,LAND,NORMAL,230,717,12904531,12904532,12915787,12916511,11256,1,724
6,LAND,NORMAL,119,564,12904422,12904422,12910554,12911119,6132,0,565
7,TAKEOFF,NORMAL,271,321,12904574,12904574,12917643,12917967,13069,0,324
8,TAKEOFF,NORMAL,217,426,12904522,12904522,12915357,12915787,10835,0,430
9,TAKEOFF,NORMAL,315,790,12904622,12904623,12919320,12920115,14698,1,795
10,TAKEOFF,NORMAL,151,336,12904460,12904462,12913035,12913377,8575,2,342
11,TAKEOFF,NORMAL,34,710,12904344,12904344,12904864,12905587,520,0,723
12,TAKEOFF,NORMAL,332,514,12904644,12904644,12920352,12920867,15708,0,515
13,TAKEOFF,NORMAL,296,653,12904609,12904610,12918663,12919320,14054,1,657
14,LAND,NORMAL,193,693,12904509,12904509,12914144,12914842,9635,0,698
15,TAKEOFF,NORMAL,383,244,12904702,12904702,12922895,12923143,18193,0,248
16,LAND,NORMAL,15,525,12904337,12904337,12904338,12904864,1,0,526
17,LAND,NORMAL,82,576,12904405,12904405,12909164,12909743,4759,0,579
18,LAND,NORMAL,237,358,12904561,12904561,12917284,12917643,12723,0,359
19,LAND,NORMAL,303,234,12904627,12904627,12920115,12920352,15488,0,237
20,TAKEOFF,NORMAL,386,740,12904713,12904714,12923143,12923883,18430,1,740
21,LAND,NORMAL,389,474,12904717,12904717,12923883,12924359,19166,0,476
22,LAND,NORMAL,491,526,12904820,12904821,12928056,12928586,23236,1,530
23,LAND,EMERGENCY,68,724,12904400,12904403,12908436,12909164,4036,3,728
24,TAKEOFF,NORMAL,205,212,12904538,12904539,12917068,12917284,12530,1,216
25,LAND,NORMAL,45,503,12904380,12904381,12906756,12907268,2376,1,512
26,LAND,NORMAL,321,339,12904656,12904657,12920867,12921211,16211,1,344
27,TAKEOFF,NORMAL,74,796,12904413,12904414,12909744,12910554,5331,1,810
28,LAND,NORMAL,54,274,12904395,12904395,12907569,12907845,3174,0,276
29,TAKEOFF,NORMAL,32,578,12904376,12904376,12906173,12906755,1797,0,582
30,LAND,NORMAL,378,235,12904723,12904724,12924359,12924599,19636,1,240
31,TAKEOFF,NORMAL,315,571,12904661,12904661,12921503,12922078,16842,0,575
32,LAND,NORMAL,184,553,12904532,12904533,12916511,12917068,11979,1,557
33,LAND,NORMAL,427,265,12904777,12904777,12926129,12926395,21352,0,266
34,TAKEOFF,EMERGENCY,159,506,12904509,12904509,12914842,12915357,10333,0,515
35,TAKEOFF,NORMAL,19,575,12904369,12904370,12905587,12906173,1218,1,586
36,LAND,NORMAL,306,291,12904660,12904660,12921211,12921503,16551,0,292
37,TAKEOFF,NORMAL,47,587,12904402,12904403,12907845,12908435,3443,1,590
38,LAND,NORMAL,86,682,12904440,12904441,12911387,12912069,6947,1,682
39,TAKEOFF,NORMAL,100,646,12904459,12904459,12912385,12913035,7926,0,650
40,LAND,NORMAL,319,446,12904678,12904679,12922079,12922525,17401,1,446
41,LAND,NORMAL,33,300,12904393,12904393,12907268,12907569,2875,0,301
42,LAND,NORMAL,322,368,12904686,12904686,12922526,12922895,17840,0,369
43,TAKEOFF,NORMAL,471,212,12904837,12904837,12929334,12929547,24497,0,213
44,LAND,NORMAL,427,529,12904792,12904792,12926945,12927476,22153,0,531
45,LAND,NORMAL,449,576,12904818,12904818,12927476,12928056,22658,0,580
46,TAKEOFF,NORMAL,452,744,12904821,12904821,12928586,12929334,23765,0,748
47,TAKEOFF,NORMAL,386,787,12904756,12904756,12924599,12925389,19843,0,790
48,TAKEOFF,NORMAL,69,311,12904441,12904442,12912069,12912385,7628,1,316
49,LAND,EMERGENCY,108,420,12904481,12904482,12913378,12913802,8897,1,424
